word	pronunciation	occurrences	mean length of utterance
education	eh jh ih k ey sh eh n	2	0.735
education	eh jh ih k ey sh en	10	0.6429
education	eh jh ih k ey sh ih n	2	0.589
education	eh jh ih k ey sh ihn	1	0.683
education	eh jh ih k ey sh ih n	8	0.81025
education	eh jh ih k ih sh en	1	0.679
education	eh jh iy k ey sh ah n	1	0.69
education	eh jh iy k ey sh em	1	0.759
education	eh jh iy k ey sh en	1	0.847
education	eh jh iy k ey sh ih n	1	0.75
education	eh jh iy k ey sh ih nx	1	0.701
education	eh jh k eh sh em	1	0.616
education	eh jh k ey sh eh n	1	0.59
education	eh jh k ey sh en	2	0.656
education	eh jh uh k ey sh ah n	5	0.736
education	eh jh uh k ey sh eh n	2	0.69
education	eh jh uh k ey sh en	1	0.47
education	eh jh uw k ey sh ah n	1	0.648
education	eh zh ih k ey sh ah n	1	0.937
education	eh zh ih k ey sh en	1	0.524
education	ey jh k ey sh en	1	0.444
education	ih jh ih k ey sh eh n	1	0.836
education	ih jh ih k ey sh ih m	1	0.574
educational	eh jh ah k ey sh en el	1	0.71
educational	eh jh ih k ey sh ah n el	2	1.095
educational	eh jh ih k ey sh en el	1	0.785
educational	eh jh ih k ey sh n el	1	0.811
educator	eh jh ih k ey dx eh r	1	0.684
edventure	eh d v eh n ch er	1	0.746
edventure	eh d v eh n jh ih	1	0.373
edward	eh d w er tq	2	0.378
eew	iy w	1	0.391
effect	ah f eh k	1	0.36
effect	ah f eh k t	6	0.477333333333333
effect	ah f eh t	1	0.36
effect	ih f eh k	2	0.3775
effect	ih f eh k t	3	0.319666666666667
effect	uh f eh k	1	0.49
effecting	ih f eh k t ih ng	1	0.51
effective	ah f eh k t ih v	2	0.739
effective	ih f eh k d ih v	1	0.71
effective	ih f eh k t ih v	1	0.54
effective	ih f eh k t uh v	1	0.526
effectively	eh f ih t eh v l iy	1	0.571
effectively	ih f eh k t ih v l iy	1	0.703
effects	ah f eh k s	4	0.4815
effects	ih f eh k s	3	0.460333333333333
effects	ih f eh k t s	1	0.383
efficiency	nx ih f ih sh ih n s iy	1	0.999
efficient	ah f ih sh eh n t	1	0.572
effort	ae f er tq	1	0.367
effort	eh f ah r t	1	0.31
effort	eh f eh r t	1	0.28
effort	eh f er	1	0.241
effort	eh f er dx	2	0.3055
effort	eh f er t	6	0.339833333333333
effort	eh f er tq	5	0.4048
efforts	eh f er s	1	0.442
efforts	eh f er t s	1	0.389
egg	eh g	1	0.156
egg	ey g	1	0.144
egg	ih g	1	0.108
eggs	ey g s	1	0.377
ego	iy g ow	2	0.3855
egomaniac	iy g ow m ey n iy ae k	1	0.8
egos	iy g ow z	1	0.456
egotistical	iy g ih t ih s t ih k ah l	1	0.814
egregious	g r iy jh ah s	1	0.416
egyptian	iy jh ih p sh ih n	1	0.54
eh	ae	1	0.249
eh	eh	4	0.1685
eh	eh hh	1	0.511
eh	eh n	1	0.556
eight	ae f	1	0.19
eight	eh tq	1	0.077
eight	ey d	2	0.1815
eight	ey dx	12	0.185166666666667
eight	ey t	40	0.243495
eight	ey th	1	0.228
eight	ey tq	38	0.195315789473684
eight	iy tq	1	0.0759
eight	n ey tq	1	0.202
eighteen	ey t ih	1	0.265
eighteen	ey t ihn	1	0.287
eighteen	ey t iy	1	0.318
eighteen	ey t iy m	1	0.36
eighteen	ey t iy n	28	0.459535714285714
eighteen	ey tq t iy n	1	0.308
eighteen	ey t t iy n	3	0.5
eighteen	iy t iy n	1	0.466
eighteen	iy t iy nx	1	0.372
eighth	eh t th	1	0.276
eighth	ey t	1	0.182
eighth	ey th	13	0.192923076923077
eighth	ey t th	6	0.264
eighties	ey d iy z	1	0.6
eighties	ey dx iy s	2	0.5465
eighties	ey dx iy z	3	0.514
eighty	ey	1	0.112
eighty	ey d iy	2	0.2305
eighty	ey dx ih	1	0.193
eighty	ey dx iy	35	0.258685714285714
eighty	ey t iy	3	0.26
einen	ay nx eh n	1	0.268
einstein	ay n s t ay n	2	0.707
either	ay dh er	3	0.337333333333333
either	eh dh er	1	0.296
either	ey dh er	1	0.208
either	hh iy dh er	1	0.315
either	ih dh ih	1	0.131
either	iy dh ah	5	0.205
either	iy dh ah r	10	0.2833
either	iy dh eh r	5	0.3704
either	iy dh er	61	0.290049180327869
either	iy dh ih	4	0.18025
either	iy dh ih r	8	0.238125
either	iy dx er	1	0.235
either	iy dx ih r	2	0.2655
either	iy er	1	0.201
el	eh l	1	0.13
elderly	eh l d er l iy	1	0.47
elderly	eh l dx er l iy	1	0.515
elderly	el l ah r iy	1	0.207
elders	eh l d ah r zh	1	0.394
elders	eh l dx er s	1	0.38
elders	eh l dx er z	3	0.519666666666667
elected	ah l eh k t ih d	4	0.5285
elected	el eh k t ih d	1	0.555
elected	ih l eh k t ih d	5	0.5572
election	ah l eh k sh ih n	6	0.476833333333333
election	eh l eh k sh ih n	1	0.635
election	el eh k sh en	1	0.325
election	el l eh k sh ih n	1	0.566
election	ih l eh k sh ah n	2	0.5665
election	ih l eh k sh eh nx	1	0.42
election	ih l eh k sh ih n	1	0.409
elections	ah l eh k sh ih n z	2	0.6355
elections	el l eh k sh ih n z	1	0.472
elections	ih l eh k sh en z	1	0.512
elective	ih l eh k t ih v	1	0.54
electric	ah l ay d r ih k	1	0.348
electric	ah l eh k ch ih k	1	0.331
electric	ah l eh k t r ih k	1	0.465
electric	ih l eh k t r ih k	2	0.458
electric	ih l eh k t r iy k	1	0.412
electric	l ay k ch r iy k	1	0.315
electrical	ih l eh k ch k el	1	0.527
electrical	ih l eh t r k el	1	0.436
electro	ih l eh k t r ow	1	0.652
electrocuted	el l eh k ch k y uw dx ih d	1	0.704
electrocution	ih l eh k ch r ih k y uw sh ah n	1	0.912
electronic	ah l ah k ch r aan eh k	1	0.641
electronic	l eh k t r aa n ih k	1	0.555
electronic	ow l eh k ch r aa nx ih k	1	0.613
electronics	ih l eh k t r aa n ih k s	1	1.08
element	eh l ah m ah nx	1	0.402
elementaries	eh l ah m eh n t r iy s	1	0.653
elementary	aa l ah m eh n t r iy	1	0.534
elementary	ah l ah m eh n ch r iy	1	0.44
elementary	eh l ah m ah dx er ih	1	0.468
elementary	eh l ah m eh n ch er iy	1	0.912
elementary	eh l ah m eh n ch r ih	1	0.421
elementary	eh l ah m eh n ch r iy	3	0.583
elementary	eh l ah m eh n t er iy	1	0.446
elementary	eh l ah m eh n t r ih	1	0.526
elementary	eh l ah m eh n t r iy	8	0.55525
elementary	eh l ah m eh nx ah r eh	1	0.568
elementary	eh l ah m eh nx er ih	1	0.539
elementary	eh l ah m eh nx er iy	1	0.493
elementary	eh l em eh n ch r iy	1	0.618
elementary	eh l m eh n t r iy	3	0.441666666666667
elementary	eh l uh m eh n ch r iy	1	0.4
elementary	eh l uh m eh n t r iy	1	0.483
elements	ae l ah m ah n s	1	0.499
elements	eh l ah m ah n t s	1	0.601
elements	eh l ah m eh n t s	2	0.481
elements	eh l ah m ih n t s	1	0.386
elements	eh l ah m ihn t s	1	0.452
elements	eh l eh m eh n s	1	0.4
elements	eh l eh m ehn t s	1	0.35
elements	eh l ih m ih n t s	1	0.491
elevated	eh l ah v ey dx ih d	1	0.57
eleven	ah l ah v ah n	1	0.566
eleven	ah l eh v ah n	2	0.3635
eleven	ah l eh v eh n	3	0.543333333333333
eleven	ah l eh v eh nx	1	0.541
eleven	ah l eh v en	1	0.329
eleven	ah l eh v ih n	4	0.43575
eleven	eh l eh v ah n	1	0.432
eleven	el eh v ih n	2	0.322
eleven	el l eh v ah n	2	0.3425
eleven	ih l ah v ih n	1	0.364
eleven	ih l eh v ah n	2	0.397
eleven	ih l eh v eh n	2	0.4005
eleven	ih l eh v ih n	3	0.436666666666667
eleven	iy l ey v ah n	1	0.629
eleven	l eh v ah n	1	0.323
eleven	l eh v ih n	1	0.24
elevens	ah l eh v ih n z	1	0.414
eleventh	ah l eh v eh n th	1	0.448
eleventh	el eh v eh n th	1	0.37
eleventh	ih l ah v ah n th	1	0.333
eleventh	ih l eh v ah n th	2	0.447
eleventh	ih l eh v ih n th	1	0.542
eleventh	l eh v eh th	1	0.238
eleventh	uh l eh v eh n th	1	0.402
elian	ey l iy eh n	1	0.458
eliminate	ih l ah m ah n ey dx	1	0.758
eliminated	l ah m n ey ih d	1	0.334
eliminating	ah l ih m eh n ey dx iy n	1	0.685
eliminating	ow l ih m ih n ey dx iy n	1	0.676
elitist	ah l iy dx ih s t	1	0.511
elizabeth	ah l ih z ah b eh th	1	0.47
elizabeth	ah l ih z b eh dh	1	0.378
ellen	eh l ih n	1	0.352
ellimen	eh l ah m ah nx	1	0.29
ellimen	eh l ah m eh n	1	0.374
ellison	eh l ah s ah n	1	0.541
ellison	eh l ah s en	1	0.439
else	aa s	1	0.232
else	ah l s	4	0.2625
else	eh aa s	1	0.326
else	eh ah s	1	0.237
else	eh ah sh	1	0.273
else	eh ao s	1	0.33
else	eh l s	153	0.274699346405229
else	eh l sh	2	0.2095
else	eh l t s	1	0.235
else	eh l z	1	0.114
else	ehn l s	1	0.386
else	eh s	2	0.1239
else	el s	2	0.162
else	l s	1	0.16
else	n eh l s	1	0.313
else	y eh l s	1	0.348
else's	ah l s ih z	1	0.322
else's	eh l s ah s	2	0.369
else's	eh l s ih z	6	0.4725
else's	eh l s z	1	0.26
else's	eh l z ih s	1	0.493
elsewhere	ah l s w eh r	1	0.499
elsewhere	eh l s w eh r	1	0.419
elvis	eh l v ih s	1	0.359
elyria	ih l ih r iy ah	1	0.774
em	ah m	1	0.123
em	dh eh m	1	0.18
em	eh m	6	0.199666666666667
em	em	3	0.126766666666667
em	eng	1	0.364
'em	eh m	1	0.173
email	iy m eh l	1	0.291
email	iy m ey l	1	0.502
emailed	iy m eh l d ih	1	0.538
emails	iy m ey l z	1	0.558
emanate	eh m n ey tq	1	0.429
embarrassed	eh m b eh r ah s d	1	0.371
embarrassed	em b eh r eh s t	1	0.724
embarrassing	ih m b ae r ih s ih ng	1	0.941
embarrassment	eh m b ae r ah s m ah n t	1	0.752
embarrassment	eh m b eh er ah s m en t	1	0.72
embodied	ih m b aa dx iy dx	1	0.749
embrace	ih m b r ey s	1	0.349
embrace	uh m b r ey s	1	0.453
emergency	ih m er jh s iy	1	0.39
emergency	m er zh ahn s iy	1	0.451
emigrated	eh m ah g r ey dx ih	1	0.491
emma's	eh m ah z	2	0.356
emory	eh m er iy	2	0.4625
emotional	ih m ow sh n el	1	0.56
emotional	ih m ow s n ah l	1	0.696
emotional	iy m ow sh en el	1	0.505
emotionally	ih m ow sh ah el l iy	2	0.8165
emotionally	ih m ow sh l iy	1	0.405
emotionally	ih m ow sh l iyn	1	0.621
emotions	ih m ow sh en z	2	0.4665
emotions	iy m ow sh ah n z	1	0.54
empathy	eh m p ah th iy	1	0.429
emphasis	ah m f uh s uh s	1	0.46
emphasis	eh m f ah s ah s	2	0.4295
emphasis	eh m f ah s ih s	2	0.5305
emphasis	eh m f ih s ih s	1	0.47
emphasis	eh n f ah s ih s	1	0.821
emphasized	eh m f ah s ay s	1	0.708
emphasized	eh m f ah s ay z	3	0.555333333333333
emphasizing	ehn f ah s ay z ih n	1	0.694
empire	eh m p ay er	4	0.42925
employed	eh m p l oy d	2	0.485
employed	em p l oy d	1	0.597
employee	eh m p l oy iy	2	0.523
employee	em p l oy iy	1	0.563
employees	ah m p l oy iy z	1	0.735
employees	eh m p l oy iy z	1	0.513
employees	em p l oy iy z	1	0.353
employees	ih m p l oy iy s	1	0.837
employees	m p l oy iy s	1	0.65
employer	ah m p l oy er	1	0.61
employer	eh m p l oy er	4	0.45125
employer	ih m p l oy er	1	0.512
employers	eh m p l oy er z	5	0.586
employment	ah m p l oy m ah n	1	0.442
employment	eh m p l oy m ah	1	0.415
employment	eh m p l oy m ah n	1	0.4
employment	ih m p l ah m ih n	1	0.574
employment	p l oy m eh n	1	0.303
empower	ih m p aw er	1	0.539
empowers	ih m p aw er s	1	0.653
emptiness	eh m b iy n ah s	1	0.4
empty	eh m p t iy	2	0.292
empty	eh m t iy	1	0.238
emptying	eh m p t iy ih ng	1	0.528
emulate	eh m y ah l ey t	1	0.505
en	eh n	1	0.095
enables	eh n ey b el z	1	0.456
encompass	ihn n k ah m p uh s	1	0.594
encompasses	ih ng k ah m p ih s ih s	1	0.99
encounter	en k aw nx er	1	0.475
encourage	eh ng k er ih jh	1	0.887
encourage	eh n k er ih jh	1	0.467
encourage	ih ng k er i jh ih	1	0.531
encouraged	ih n k er ih jh	1	0.501
encourages	eh n k er ih jh eh s	1	0.524
encouraging	eh ng k er ih jh ih ng	1	0.449
encouraging	ih n k er ih jh ih ng	1	0.718
end	aen	1	0.184
end	ae n d	1	0.199
end	ah n	2	0.1098
end	eh m	1	0.23
end	eh n	15	0.182186666666667
end	eh n d	43	0.199627906976744
end	eh n dx	2	0.1215
end	eh nx	3	0.0932333333333333
end	ih n	1	0.18
end	ih n d	3	0.151666666666667
end	ih n dx	1	0.191
end	ih nx	1	0.0715
endangered	eh n d ey n jh ey r	1	0.383
endangered	eh n d ey n jh ih d	1	0.352
endeavor	eh n d eh v er	1	0.382
ended	eh n	1	0.15
ended	eh n ah dx	1	0.284
ended	eh n ah tq	1	0.21
ended	eh n d	3	0.107
ended	eh n d ah d	4	0.2625
ended	eh n d ah dx	1	0.207
ended	eh n d ih	1	0.164
ended	eh n d ih d	6	0.275
ended	eh n d ih dx	3	0.189
ended	eh n dx ah d	1	0.172
ended	eh n dx ih dx	1	0.347
ended	eh n ih d	1	0.186
ended	eh n ih dx	1	0.234
ended	eh n n ah	1	0.142
ended	eh nx	2	0.10575
ended	eh nx dx ih eh dx	1	0.221
ended	eh nx en	1	0.105
ended	eh nx ih d	1	0.162
ended	eh nx ih dx	4	0.2065
ended	eh nx ihn	1	0.185
ended	en d	1	0.0956
ended	ih n d	2	0.1064
ended	ih nx eh d	1	0.233
ending	eh n d ih ng	3	0.390333333333333
endless	eh n d l uw s	1	0.408
endpoint	eh n m p oyn tq	1	0.435
ends	eh n d z	4	0.321
ends	eh n s	1	0.196
ends	eh n z	1	0.275
ends	en d s	1	0.169
ends	ih n z	1	0.347
eneepee	ihn n iy p iy	1	0.639
enemy	eh n ah m iy	2	0.5185
enemy	eh nx ah m iy	1	0.35
energy	eh n er jh iy	1	0.449
energy	ih n er jh iy	1	0.36
enforce	ah f ow r sh	1	0.399
enforce	ah n f ow r s	1	0.376
enforce	eh n f ao r s	1	0.474
enforce	eh n f ow r s	3	0.448666666666667
enforce	ih n f ow r s	1	0.465
enforced	eh n f ow r s t	1	0.689
enforcement	ah n f ao r s m ahn	1	0.512
enforcement	ah n f ow r s m eh n tq	1	0.603
enforcement	eh n f ao r s m ah p	1	0.689
enforcement	eh n f ao r s m eh n	1	0.583
enforcement	em f ao r s m ehn tq	1	0.485
enforcement	en f ao r s m eh tq	1	0.536
engaged	en g ey jh d	2	0.3915
engagement	eh ng g ey zh m er	1	0.393
engaging	eng g ey jh ih ng	1	0.362
engineer	eh n jh en iy r	1	0.571
engineer	eh n jh ih n ih er	1	0.34
engineer	eh n jh ih n iy r	1	0.695
engineer	eh n jh ih nx ih er	1	0.43
engineer	eh n zh ih n ih r	1	0.441
engineering	eh n jh ah n ih r ih ng	1	0.442
engineering	eh n jh en ih r ih ng	2	0.6035
engineering	eh n jh ih eh r ih ng	1	0.537
engineering	eh n jh ih n er iy	1	0.426
engineering	eh n jh ih n ih r ey ng	1	0.473
engineering	eh n jh ih n ih r ih ng	2	0.442
engineering	eh n jh ih n iy r ihn	1	0.444
engineering	eh n jh ih n iy r ih ng	3	0.568
engineering	eh n jh ih nx ih r ih ng	1	0.417
engineering	eh n jh n iy r ih ng	2	0.478
engineering	eh n zh en ih r ih ng	1	0.472
engineering	en jh n iy r ih ng	1	0.496
engineering	ih n zh en ih r ih ng	1	0.616
engineers	eh n jh ah n iy r z	2	0.5675
engineers	eh n jh ih n iy r z	1	0.641
engineers	eh n jh n er z	1	0.42
engineers	eh n jh n iy r z	1	0.481
engines	eh n jh ih z	1	0.254
england	ey ng g l eh n d	1	0.603
england	ih ng g l ah n	1	0.366
england	ih ng g l ah n d	3	0.574
england	ih ng l ah n	1	0.265
england	ih ng l ah n d	4	0.3715
england	ih ng l ah n t	1	0.516
england	ih ng l eh n d	1	0.43
england	ih ng l ih n	2	0.286
england	ih ng l ih n t	1	0.46
england	iy ng g l ah n d	1	0.383
england	iy ng l ah n	1	0.363
england	iy ng l ah n t	1	0.442
england's	ih ng l ah n z	1	0.354
english	ey ng l ih sh	1	0.365
english	ih ng g l ah sh	1	0.347
english	ih ng g l ih sh	5	0.3862
english	ih ng g w eh sh	1	0.365
english	ih ng l ih sh	7	0.359857142857143
english	iy ng g ih sh	1	0.306
english	iy ng g l ah sh	1	0.36
english	iy ng g l eh sh	1	0.365
english	iy ng g l ih sh	7	0.472714285714286
english	iy n g l ah sh	1	0.406
english	iy ng l ih sh	2	0.4255
enigma	ah n ih g m ah	1	0.518
enjoy	eh n jh ah	1	0.234
enjoy	eh n jh oy	1	0.219
enjoy	ehn jh oy	1	0.31
enjoy	eh n jh oy	2	0.313
enjoy	ehn jh oy	1	0.32
enjoy	eh n jh oy	8	0.415125
enjoy	en jh oy	1	0.216
enjoy	en zh oy	1	0.261
enjoy	ih n jh oy	6	0.396
enjoyable	eh n jh oy ah b ah l	1	0.53
enjoyed	eh n jh oy d	1	0.49
enjoyed	eh n jh oy dx	1	0.37
enjoyed	en jh oy d	2	0.286
enjoyed	en jh oy dx	1	0.211
enjoyed	ih n jh oy d	3	0.384333333333333
enjoyed	ih n jh oy d ih	1	0.576
enjoying	eh n jh ah ng	1	0.329
enjoying	eh n jh oy ih ng	1	0.495
enjoys	en jh oy s	1	0.32
enjoys	ih n jh oy z	1	0.698
enlarging	eh n l aa r jh ih ng	1	0.48
enlist	ah n d l ah s t	1	0.37
enlist	eh n l ih s t	1	0.35
enlisted	ah n l ah s ah d	1	0.47
enlisted	en l ih s t ih d	1	0.341
enlisting	ae n l ah s t ih ng	1	0.507
enough	ah n aa f	1	0.41
enough	ah n ah f	20	0.3308
enough	ah nx ah f	2	0.413
enough	ah nx ah p	1	0.178
enough	ay n ah f	1	0.412
enough	eh n ah f	7	0.355285714285714
enough	en ah f	11	0.244090909090909
enough	ih n ah f	55	0.330654545454545
enough	ih nx ah f	5	0.2934
enough	ih nx ah p	1	0.26
enough	iy n ah f	2	0.24
enough	iy nx ah f	1	0.23
enough	n ah f	8	0.235625
enoughs	ih n ah f s	1	0.369
enroled	eh n r ow dx	1	0.464
enrolled	n r ow l d	1	0.385
enrolling	eh n r ow l ih ng	1	0.504
enrollment's	eh n r ow l m eh n t s	1	0.497
ensemble	aa n s aa m b el	1	0.686
entertained	eh n t er t ey n d	1	0.61
entertained	ih n er t ey n d	1	0.625
entertained	ih nx er t ey n d	1	0.61
entertainment	ah n t er t ey n m ihn t	1	0.75
entertainment	eh nx er t ey n m eh n t	1	0.68
entertainment	eh nx ih n t ey n m eh n	1	0.582
entertainment	er t ey n m eh n t	1	0.426
enthusiasm	eh n th uw z iy ae z ah m	2	0.7445
enthusiasm	en th uw z iy ae z ih m	1	0.633
enthusiastic	eh n th uw z iy ae s t ih k	2	0.845
enthusiastic	en th uw z iy ae s t ih k	1	0.676
enthusiastic	ih n th uw z iy ae s t ih k	1	0.7
entice	eh n t ay s	1	0.466
entire	eh n t aa er	1	0.389
entire	eh n t ae er	1	0.431
entire	eh n t ay er	8	0.465
entire	eh n t eh r	1	0.425
entire	en t ay er	2	0.335
entire	er n t ae er	1	0.388
entire	ih n t aa er	1	0.345
entire	ih n t ay er	4	0.39925
entire	ih n t er	1	0.427
entirely	eh n t aa r l iy	1	0.46
entirely	eh n t ay r l iy	1	0.36
entirely	en t ay er l iy	1	0.434
entirely	ih n t aa er l iy	1	0.716
entrance	eh n t r ah n s	2	0.539
entrenched	eh n t r eh n ch	1	0.549
enunciate	eh n ah n s iy ih t	1	0.429
envelops	eh n v eh l ah p s	1	0.731
environment	ah n v ay er m ahn	1	0.671
environment	ah n v ay er m eh nx	2	0.576
environment	eh m v ay er m ah n tq	1	0.702
environment	eh n v ay er m ah n	1	0.645
environment	eh n v ay er m ah n t	2	0.409
environment	eh n v ay er m ah n tq	1	0.672
environment	eh n v ay er m ah tq	1	0.539
environment	eh n v ay er m eh n	1	0.76
environment	eh n v ay er m eh n t	3	0.549666666666667
environment	eh n v ay er m ehn tq	3	0.596333333333333
environment	eh n v ay er m ehn tq k	1	0.47
environment	eh n v ay er m en tq	1	0.563
environment	en v ah ay er m ah n d	1	0.492
environment	en v ay er m ehn tq	1	0.594
environment	ih m v aa er m ah n	1	0.608
environment	ih n v ay er m eh n tq	1	0.567
environment	v ah er m ahn tq	1	0.34
environmental	ih n v ay r m eh n t el	1	0.561
eon	iy aa n	1	0.466
ephraim	eh f r ah m	1	0.803
epidural	eh p ah d er ah l	1	0.566
epidural	eh p d er ah l	1	0.564
epidural	eh p ih d er ah l	1	0.519
epilepsy	eh p el ah p s iy	1	0.501
episcopalian	ih p ah s k ah p ey l y ihn	1	0.861
episode	eh p ih s ow d	8	0.515
episode	eh p ih s ow dx	1	0.4
episodes	eh p ih s ow d s	1	0.419
episodes	eh p ih s ow d z	1	0.543
episodes	eh p s ow s	1	0.365
equal	iy k w ah	1	0.325
equal	iy k w ah l	1	0.231
equal	iy k w el	2	0.29
equalizer	iy k w ah l ay z er	1	0.661
equally	iy k w ah l iy	2	0.646
equally	iy k w el iy	2	0.394
equally	iy k w uh l iy	1	0.447
equally	iy k w uw l iy	1	0.347
equals	iy k w uh z	2	0.37
equipment	ah k w ih p m eh tq	1	0.587
equipment	ih k w ah p m ah n	2	0.326
equipment	ih k w eh p m eh n t	1	0.375
equipment	ih k w ih p m ah n t	1	0.751
equipment	ih k w ih p m eh tq	1	0.574
equipped	ih k w ih p t	1	0.552
equivalent	ih k w ih v ah l ah n t	1	0.901
equivalent	iy k w ah v en	1	0.292
er	er	1	0.132
erasers	ah r ey s ih z	1	0.523
erection	ih r eh k sh en	1	0.486
eric	eh r ih k	1	0.34
erin	eh r ih n	2	0.303
eroded	iy r ow dx eh dx	1	0.56
eroded	iy r ow dx ih dx	1	0.759
eroding	ih r ow d ih ng	1	0.473
eroding	ih r ow dx ih ng	1	0.734
errands	eh r ih n d z	1	0.333
error	dx eh r er	1	0.366
error	eh r	1	0.153
error	eh r er	2	0.3475
errors	eh er z	1	0.545
errors	eh r er s	1	0.44
errors	eh r er z	2	0.472
errors	er ah z	1	0.258
e's	iy z	1	0.226
escapades	eh s k ah p ey d z	1	0.767
escape	s k ey p	1	0.312
especially	ah s p eh sh el iy	1	0.681
especially	ah s p eh sh iy	1	0.441
especially	ah s p eh sh l iy	2	0.5425
especially	ah s p eh s l ih	1	0.416
especially	ah s p eh s l iy	1	0.351
especially	eh k s p eh sh iy	3	0.430666666666667
especially	eh k s p eh sh l iy	1	0.405
especially	eh k s p eh sh uw l iy	1	0.535
especially	eh s p eh sh ah l iy	5	0.498
especially	eh s p eh sh el iy	1	0.748
especially	eh s p eh sh iy	5	0.4716
especially	eh s p eh sh l iy	16	0.5415625
especially	eh s p eh z ah l iy	1	0.573
especially	eh s p ey sh l iy	1	0.642
especially	er s p eh sh ih	1	0.43
especially	ihn s p eh sh l iy	1	0.609
especially	ih s p eh sh iy	3	0.380333333333333
especially	ih s p eh sh l iy	2	0.4915
especially	p eh sh iy	1	0.355
especially	s p eh sh	1	0.28
especially	s p eh sh el iy	1	0.529
especially	s p eh sh ih	1	0.366
especially	s p eh sh iy	5	0.429
especially	s p eh sh l iy	5	0.4114
especially	s p eh zh l iy	1	0.327
especially	t s p ih s l ih	1	0.409
especially	uh s p eh sh l iy	1	0.552
espionage	eh s p ih n aa sh	1	0.618
essay	ae s ey	1	0.424
essay	ah s ey	1	0.292
essay	eh s ey	4	0.4175
essays	eh s ey s	1	0.56
essence	eh s ih n s	1	0.343
essential	ah s eh n sh ah l	1	0.528
essential	ih s eh n ch el	1	0.555
essentially	ah s ah n ch ih ah	1	0.593
essentially	ah s eh n sh iy	1	0.414
essentially	ah s eh n sh l iy	2	0.532
essentially	eh s eh n sh l iy	1	0.551
essentially	ih s eh n sh iy	1	0.424
establish	eh s t ae b l ih sh	2	0.6315
established	ah s t ae b ih sh	1	0.598
established	ah s t ae b l ih sh t	1	0.543
established	eh s t ae b l ih sh t	1	0.836
established	ih s t ae b l eh sh	1	0.913
established	ih s t ae b l ih sh	1	0.468
established	ih s t ae b l ih sh t	1	0.797
establishment	ih s t ae v l ah sh m ah n tq	1	0.769
estate	eh s t ey t	1	0.382
esteem	eh s t iy m	1	0.576
estimate	eh s t em eh dx	1	0.43
estimation	eh s t ih m ey sh ih n	1	0.68
etc	eh t eh r ih	1	0.319
etc	eh t s eh dx er ah	1	0.468
etcetera	eh tq s eh dx eh r ah	1	0.522
etcetera	ey k s eh dx er ah	1	0.678
eternity	ih t ah r n ih d iy	1	0.685
ethic	eh th ih k	1	0.45
ethical	eh th ih k el	2	0.33
ethical	eh th ih k uh l	1	0.438
ethics	eh th ih k s	6	0.516666666666667
ethnic	eh n ihn k	1	0.371
ethnic	eh th ih k	1	0.319
ethnicities	eh th n ih s ih dx iy z	1	1.08
eugene	y uw jh iy n	3	0.508666666666667
eurail	y er uh l	1	0.239
eurail	y uh r el	1	0.225
eurail	y uh r ey l	1	0.332
europe	y ah r ah p	1	0.28
europe	y er ah	2	0.2525
europe	y er ah p	9	0.377111111111111
europe	y er p	2	0.2085
europe	y er r ah p	1	0.572
europe	y ih r ah p	1	0.451
europe	y uh r	1	0.18
europe	y uh r ah p	8	0.354
european	y ah r ah p iy eh n	1	0.646
european	y er p iy ih n	2	0.4415
european	y er p iy ng	1	0.551
european	y uh r ah p iy ih n	1	0.79
europeans	y er ah p iy ih n z	2	0.729
europeans	y er p iy ih n z	1	0.419
eurotrains	y er ow ch r ey n z	1	0.75
euthanized	y uw th ah n ay z d	1	0.716
evaluating	ih v ae y uw ey t	1	0.483
evaluations	ah v ae l y uw ey sh ih n z	1	0.872
eve	iy v	1	0.253
even	ah n	1	0.15
even	dx iy v ahn	1	0.275
even	eh v en	1	0.109
even	eh v ih	1	0.144
even	eh v n	1	0.148
even	ey em	1	0.126
even	ey m en	1	0.181
even	ey n	1	0.102
even	ey v em	1	0.201
even	ih m	3	0.144333333333333
even	ih n	1	0.143
even	ihn m ih n	1	0.13
even	ih nx	1	0.0765
even	ih v	1	0.0776
even	ih v ah n	3	0.183666666666667
even	ih v eh n	1	0.182
even	ih v en	1	0.191
even	ih v ih n	5	0.1782
even	iy	2	0.09115
even	iy b em	1	0.443
even	iy eh n	1	0.221
even	iy em	6	0.194333333333333
even	iy en	5	0.1506
even	iy f ah n	1	0.28
even	iy f en	2	0.186
even	iy f ih n	1	0.215
even	iy ih	1	0.115
even	iy m	2	0.1245
even	iy m en	2	0.2225
even	iy n	7	0.154714285714286
even	iy ng	1	0.12
even	iy uh	1	0.149
even	iy uh n	1	0.205
even	iy uw	1	0.115
even	iy v	2	0.1665
even	iy v ah	2	0.2395
even	iy v ah eng	1	0.205
even	iy v ah m	1	0.185
even	iy v ah n	39	0.17825641025641
even	iy v ahn	1	0.214
even	iy v ah n	20	0.2391
even	iy v ahn	1	0.256
even	iy v ah n	39	0.327461538461538
even	iy v ah ng	1	0.183
even	iy v ahn nx	1	0.269
even	iy v ah nx	10	0.2045
even	iy v eh	3	0.118666666666667
even	iy v eh n	9	0.173
even	iy v ehn	2	0.194
even	iy v eh n	35	0.3024
even	iy v eh nx	2	0.2015
even	iy v eh nx eh	1	0.259
even	iy v em	4	0.198
even	iy v en	51	0.188294117647059
even	iy v eng	1	0.151
even	iy v ih	1	0.123
even	iy v ih m	1	0.325
